mode,seed_index,height,complexity,constraint_id,constraint_name,k,width,table_bytes,par,retries,hidden_bytes,hidden_validation_steps,hidden_validation_allocations,table_validation_steps,table_validation_allocations
global,10,0,1024,2,no-quote,5,10,110,25,1,25,71,56,123,128
global,10,0,2560,2,no-quote,8,18,211,30,0,30,97,57,297,305
global,10,0,4095,2,no-quote,8,24,184,25,0,25,113,89,297,305
global,10,1,16,0,none,3,6,64,25,0,25,43,34,55,82
global,10,1,255,0,none,3,7,90,27,0,27,43,34,67,130
global,10,1,256,5,single-lambda,3,7,95,28,0,28,37,28,73,154
global,10,1,512,5,single-lambda,4,8,139,28,0,28,49,37,118,233
global,10,1,1024,4,builtin-cap,5,10,178,28,0,28,61,46,172,324
global,10,1,2560,4,builtin-cap,8,18,263,30,0,30,97,97,388,669
global,10,1,4095,7,fold-required,8,24,313,52,0,52,145,161,436,757
global,10,16,16,0,none,3,6,93,30,0,30,37,37,73,154
global,10,16,255,0,none,3,7,93,30,0,30,37,37,73,154
global,10,16,256,3,letrec-required,3,7,109,59,0,59,58,52,73,112
global,10,16,512,3,letrec-required,4,8,164,60,0,60,73,109,142,273
global,10,16,1024,4,builtin-cap,5,10,160,30,0,30,61,61,172,324
global,10,16,2560,2,no-quote,8,18,167,55,0,55,249,305,297,305
global,10,16,4095,2,no-quote,8,24,242,36,3,36,147,131,365,357
global,10,255,16,0,none,3,6,71,30,0,30,32,22,55,82
global,10,255,255,0,none,3,7,88,27,0,27,43,34,67,130
global,10,255,256,1,no-digits,3,7,89,25,0,25,34,40,73,154
global,10,255,512,3,letrec-required,4,8,147,56,0,56,81,85,134,241
global,10,255,1024,2,no-quote,5,10,91,29,0,29,61,56,123,128
global,10,255,2560,4,builtin-cap,8,18,253,28,0,28,97,137,388,669
global,10,255,4095,2,no-quote,8,24,216,34,0,34,111,73,297,305
global,10,4096,16,0,none,3,6,93,30,0,30,37,37,73,154
global,10,4096,255,0,none,3,7,87,24,0,24,34,40,73,154
global,10,4096,256,0,none,3,7,78,30,0,30,36,22,55,82
global,10,4096,512,3,letrec-required,4,8,148,53,0,53,69,93,142,273
